trust_code,trust_name,latitude,longitude,region,admin_district,postcode,coordinate_source
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,54.306116,-2.731605,North West,Westmorland and Furness,LA97RG,NHS ODS Trust postcode geocoded with postcodes.io
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,53.003262,-2.211798,West Midlands,Stoke-on-Trent,ST46QG,NHS ODS Trust postcode geocoded with postcodes.io
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,50.416707,-4.113712,South West,Plymouth,PL68DH,NHS ODS Trust postcode geocoded with postcodes.io
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,50.816683,-0.363404,South East,Worthing,BN112DH,NHS ODS Trust postcode geocoded with postcodes.io
RBK,WALSALL HEALTHCARE NHS TRUST,52.582346,-1.998918,West Midlands,Walsall,WS29PS,NHS ODS Trust postcode geocoded with postcodes.io
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,51.648926,-0.404165,East of England,Watford,WD180HB,NHS ODS Trust postcode geocoded with postcodes.io
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,52.231679,0.709205,East of England,West Suffolk,IP332QZ,NHS ODS Trust postcode geocoded with postcodes.io
RKE,WHITTINGTON HEALTH NHS TRUST,51.566482,-0.139066,London,Islington,N195NF,NHS ODS Trust postcode geocoded with postcodes.io
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,53.36964,-3.096815,North West,Wirral,CH495PE,NHS ODS Trust postcode geocoded with postcodes.io
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,52.191205,-2.181154,West Midlands,Worcester,WR51DD,NHS ODS Trust postcode geocoded with postcodes.io
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",53.557755,-2.629091,North West,Wigan,WN12NN,NHS ODS Trust postcode geocoded with postcodes.io
RLQ,WYE VALLEY NHS TRUST,52.058529,-2.707776,West Midlands,"Herefordshire, County of",HR12ER,NHS ODS Trust postcode geocoded with postcodes.io
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,53.96897,-1.084294,Yorkshire and The Humber,York,YO318HE,NHS ODS Trust postcode geocoded with postcodes.io
