model,model_name,specialty_code,specialty_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
historical_seasonal_mean,historical_seasonal_mean,130,Ophthalmology Service,2508,560.9557936824384,925.9275469412156,36.184273519109205,21.17370562811565,125.37238741424268,280.4778968412192,219.5986025195565,208.48296225833948,0.7380382775119617,2279.9419912470576
naive_last_value,naive_last_value,140,Oral Surgery Service,1380,341.4659420289855,611.1603083183397,17.067668674717098,12.372763289765585,103.7378695652174,170.73297101449276,100.20836956521738,124.89307004830918,0.7369565217391304,813.7797826086958
hist_gradient_boosting,hist_gradient_boosting,140,Oral Surgery Service,1380,366.2888163962429,639.0039122661924,18.78908138119256,13.272201596534092,100.48445216680184,183.14440819812145,104.6642720851996,129.43104415004098,0.7427536231884058,1127.6283075526703
TCN,TCN,140,Oral Surgery Service,1380,431.1789525277373,740.155216993513,20.67676284930167,15.623447197852345,104.75461122962012,215.58947626386865,283.8752475137295,201.4064450024061,0.9536231884057972,3682.655710556196
seasonal_naive_12m,seasonal_naive_12m,140,Oral Surgery Service,1380,522.8188405797101,822.8073911302394,24.837986549863103,18.94395007445089,156.2366884057971,261.40942028985506,147.60434782608695,188.4168188405797,0.7369565217391304,1239.827028985507
historical_seasonal_mean,historical_seasonal_mean,140,Oral Surgery Service,1380,987.68979094778,1430.3508945794902,44.59315816299065,35.78820164172507,157.24043662870946,493.84489547389,256.71765967908897,302.6009972605628,0.7746376811594203,2289.2012581090407
naive_last_value,naive_last_value,X02,Other - Medical Services,1716,409.88927738927737,725.494666868759,14.535471698404438,9.735232998117368,150.36234265734268,204.94463869463868,113.20365384615384,156.17021173271172,0.6963869463869464,796.1046037296037
hist_gradient_boosting,hist_gradient_boosting,X02,Other - Medical Services,1716,465.7391679558461,1048.3625030741805,15.078246935067162,11.061717313706168,133.39738860544966,232.86958397792304,141.27962250410155,169.18219836249142,0.8275058275058275,1981.6398045495628
TCN,TCN,X02,Other - Medical Services,1716,579.5393338420174,1111.8705657691064,18.320501175035066,13.764571941137971,162.6985454991286,289.7696669210087,389.13178523492695,280.5333325516881,0.9592074592074592,5462.444992930878
seasonal_naive_12m,seasonal_naive_12m,X02,Other - Medical Services,1716,660.0541958041958,1093.0114184928311,21.966097676255355,15.676871150342825,237.0251923076923,330.0270979020979,189.1571678321678,252.06981934731937,0.6940559440559441,1208.803205128205
historical_seasonal_mean,historical_seasonal_mean,X02,Other - Medical Services,1716,826.1299825174824,1324.1864955276044,29.07303198807281,19.62131802462396,200.45452684815183,413.0649912587412,280.35659188034185,297.95870332907833,0.7016317016317016,2281.824130360381
naive_last_value,naive_last_value,X03,Other - Mental Health Services,144,36.91666666666666,82.5616772816272,28.723684239688016,17.731821214142762,17.061597222222222,18.45833333333333,35.17138888888889,23.563773148148147,1.0,522.3298611111112
hist_gradient_boosting,hist_gradient_boosting,X03,Other - Mental Health Services,144,44.90561700431783,87.47592288074833,30.42840088931075,21.569075545769746,8.590974896160718,22.45280850215892,16.976565992383218,16.006783130234282,0.875,197.27686157081496
seasonal_naive_12m,seasonal_naive_12m,X03,Other - Mental Health Services,144,56.54166666666666,141.76153686149615,50.80814774850717,27.1581054036024,20.27652777777778,28.27083333333333,60.76874999999999,36.438703703703695,0.9791666666666666,787.4597222222224
TCN,TCN,X03,Other - Mental Health Services,144,98.98153488172426,212.59133592358688,47.80043535766144,47.542831964537335,11.127514604230722,49.49076744086213,59.1945596423414,39.93761389581142,0.8055555555555556,252.94443950553736
historical_seasonal_mean,historical_seasonal_mean,X03,Other - Mental Health Services,144,519.2373842592592,1511.373376360716,69.6008467118471,249.40021125194573,380.3300524691358,259.6186921296296,250.1542013888889,296.7009819958848,0.8472222222222222,2201.2208509700185
naive_last_value,naive_last_value,X06,Other - Other Services,1763,294.2802041973908,873.0397492995734,38.10544257381996,23.480044388044192,98.20051049347704,147.1401020986954,124.31238797504254,123.21766685573832,0.8621667612024957,665.7217243335225
hist_gradient_boosting,hist_gradient_boosting,X06,Other - Other Services,1763,296.40570449336394,842.1414750428594,37.23622433718782,23.649633917290185,104.68654354512071,148.20285224668197,66.70466436713336,106.53135338631203,0.7458876914350538,852.9122586817359
TCN,TCN,X06,Other - Other Services,1763,376.82195751138255,1046.3379592711883,40.943918722614725,30.06589013653883,93.56706990841978,188.41097875569127,117.564663514101,133.180904059404,0.7992058990357346,1575.77380783917
