horizon,feature_name,display_name,raw_column,feature_group,lag,feature_kind,mean_abs_shap
1,completed_admitted_imputed__lag_00,completed_admitted_imputed,completed_admitted_imputed,completed-pathway features,0,raw_encoder_feature,0.0
1,completed_admitted_imputed__lag_01,completed_admitted_imputed,completed_admitted_imputed,completed-pathway features,1,raw_encoder_feature,0.0
1,completed_admitted_imputed__lag_02,completed_admitted_imputed,completed_admitted_imputed,completed-pathway features,2,raw_encoder_feature,0.0
1,completed_non_admitted__lag_00,completed_non_admitted,completed_non_admitted,completed-pathway features,0,raw_encoder_feature,0.0
1,completed_non_admitted_imputed__lag_00,completed_non_admitted_imputed,completed_non_admitted_imputed,completed-pathway features,0,raw_encoder_feature,0.0
1,completed_non_admitted_imputed__lag_01,completed_non_admitted_imputed,completed_non_admitted_imputed,completed-pathway features,1,raw_encoder_feature,0.0
1,completed_non_admitted_imputed__lag_02,completed_non_admitted_imputed,completed_non_admitted_imputed,completed-pathway features,2,raw_encoder_feature,0.0
1,completed_total_lag6_missing__lag_00,completed_total_lag6_missing,completed_total_lag6_missing,completed-pathway features,0,raw_encoder_feature,0.0
1,completed_total_lag6_missing__lag_02,completed_total_lag6_missing,completed_total_lag6_missing,completed-pathway features,2,raw_encoder_feature,0.0
1,incomplete_decision_to_admit__lag_01,incomplete_decision_to_admit,incomplete_decision_to_admit,waiting-list lags,1,raw_encoder_feature,0.0
1,new_rtt_periods_imputed__lag_00,new_rtt_periods_imputed,new_rtt_periods_imputed,referral or new RTT-period features,0,raw_encoder_feature,0.0
1,new_rtt_periods_imputed__lag_01,new_rtt_periods_imputed,new_rtt_periods_imputed,referral or new RTT-period features,1,raw_encoder_feature,0.0
1,new_rtt_periods_imputed__lag_02,new_rtt_periods_imputed,new_rtt_periods_imputed,referral or new RTT-period features,2,raw_encoder_feature,0.0
1,new_rtt_periods_lag1_missing__lag_02,new_rtt_periods_lag1_missing,new_rtt_periods_lag1_missing,referral or new RTT-period features,2,raw_encoder_feature,0.0
1,new_rtt_periods_lag6__lag_01,new_rtt_periods_lag6,new_rtt_periods_lag6,referral or new RTT-period features,1,raw_encoder_feature,0.0
1,unreported_removals__lag_01,unreported_removals,unreported_removals,unreported-removal features,1,raw_encoder_feature,0.0
1,unreported_removals_lag3__lag_02,unreported_removals_lag3,unreported_removals_lag3,unreported-removal features,2,raw_encoder_feature,0.0
1,waiting_list_with_dta__lag_01,waiting_list_with_dta,waiting_list_with_dta,waiting-list lags,1,raw_encoder_feature,0.0
1,waiting_list_with_dta_imputed__lag_02,waiting_list_with_dta_imputed,waiting_list_with_dta_imputed,waiting-list lags,2,raw_encoder_feature,0.0
6,closing_waiting_list__lag_00,closing_waiting_list,closing_waiting_list,waiting-list lags,0,raw_encoder_feature,3585.07911332779
6,total_waiting__lag_00,total_waiting,waiting_list,waiting-list lags,0,raw_encoder_feature,3340.415779161703
6,opening_waiting_list__lag_00,opening_waiting_list,opening_waiting_list,waiting-list lags,0,raw_encoder_feature,2653.580457799478
6,new_rtt_periods__lag_00,new_rtt_periods,new_rtt_periods,referral or new RTT-period features,0,raw_encoder_feature,983.1876645879923
6,incomplete_total__lag_00,incomplete_total,incomplete_total,waiting-list lags,0,raw_encoder_feature,653.8033657095434
6,time_index__lag_00,time_index,time_idx,calendar features,0,raw_encoder_feature,305.6746515697856
6,waiting_list_with_dta__lag_00,waiting_list_with_dta,waiting_list_with_dta,waiting-list lags,0,raw_encoder_feature,252.70980265254053
6,trust_identifier_embedding,trust_identifier_embedding,trust_idx,trust and specialty identifiers or embeddings,0,trust_identifier,207.01543575481614
6,new_rtt_periods_lag6__lag_00,new_rtt_periods_lag6,new_rtt_periods_lag6,referral or new RTT-period features,0,raw_encoder_feature,52.92293783312605
6,specialty_identifier_embedding,specialty_identifier_embedding,specialty_idx,trust and specialty identifiers or embeddings,0,specialty_identifier,46.69472366891286
6,reported_net_inflow_lag1__lag_00,reported_net_inflow_lag1,reported_net_inflow_lag1,referral or new RTT-period features,0,raw_encoder_feature,46.554739608458846
6,unreported_removals__lag_00,unreported_removals,unreported_removals,unreported-removal features,0,raw_encoder_feature,46.245392155009405
6,completed_total_lag1_missing__lag_00,completed_total_lag1_missing,completed_total_lag1_missing,completed-pathway features,0,raw_encoder_feature,44.72158928310793
6,new_rtt_periods_missing__lag_00,new_rtt_periods_missing,new_rtt_periods_missing,referral or new RTT-period features,0,raw_encoder_feature,43.85334079312598
6,opening_waiting_list_missing__lag_00,opening_waiting_list_missing,opening_waiting_list_missing,waiting-list lags,0,raw_encoder_feature,41.60832179590293
6,net_inflow__lag_00,net_inflow,net_inflow,referral or new RTT-period features,0,raw_encoder_feature,39.533642180956896
6,unreported_removals_missing__lag_00,unreported_removals_missing,unreported_removals_missing,unreported-removal features,0,raw_encoder_feature,38.97276137239412
6,new_rtt_periods_lag1_missing__lag_00,new_rtt_periods_lag1_missing,new_rtt_periods_lag1_missing,referral or new RTT-period features,0,raw_encoder_feature,37.66266717922101
6,unreported_removals_lag6_missing__lag_00,unreported_removals_lag6_missing,unreported_removals_lag6_missing,unreported-removal features,0,raw_encoder_feature,35.52813423585282
6,reported_net_inflow_lag3_missing__lag_00,reported_net_inflow_lag3_missing,reported_net_inflow_lag3_missing,referral or new RTT-period features,0,raw_encoder_feature,30.143131394515912
6,completed_non_admitted__lag_01,completed_non_admitted,completed_non_admitted,completed-pathway features,1,raw_encoder_feature,22.85717207597029
6,completed_admitted_missing__lag_02,completed_admitted_missing,completed_admitted_missing,completed-pathway features,2,raw_encoder_feature,22.368050026958223
6,unreported_removals_lag1_missing__lag_00,unreported_removals_lag1_missing,unreported_removals_lag1_missing,unreported-removal features,0,raw_encoder_feature,21.910727226018867
6,closing_waiting_list_missing__lag_00,closing_waiting_list_missing,closing_waiting_list_missing,waiting-list lags,0,raw_encoder_feature,20.389014447401394
6,completed_total_lag3__lag_00,completed_total_lag3,completed_total_lag3,completed-pathway features,0,raw_encoder_feature,18.879669838094426
6,incomplete_total__lag_02,incomplete_total,incomplete_total,waiting-list lags,2,raw_encoder_feature,18.85937093043485
6,unreported_removals_lag1__lag_00,unreported_removals_lag1,unreported_removals_lag1,unreported-removal features,0,raw_encoder_feature,18.3110843381169
6,unreported_removals__lag_02,unreported_removals,unreported_removals,unreported-removal features,2,raw_encoder_feature,17.69701991838266
6,new_rtt_periods_lag1__lag_02,new_rtt_periods_lag1,new_rtt_periods_lag1,referral or new RTT-period features,2,raw_encoder_feature,17.622474869693892
6,unreported_removals_lag3_missing__lag_02,unreported_removals_lag3_missing,unreported_removals_lag3_missing,unreported-removal features,2,raw_encoder_feature,17.298639214146434
6,reported_net_inflow_lag3_missing__lag_01,reported_net_inflow_lag3_missing,reported_net_inflow_lag3_missing,referral or new RTT-period features,1,raw_encoder_feature,17.119467659937797
6,incomplete_decision_to_admit__lag_00,incomplete_decision_to_admit,incomplete_decision_to_admit,waiting-list lags,0,raw_encoder_feature,16.98107264289826
6,completed_total_lag3__lag_02,completed_total_lag3,completed_total_lag3,completed-pathway features,2,raw_encoder_feature,16.782477747397483
6,unreported_removals_lag6__lag_00,unreported_removals_lag6,unreported_removals_lag6,unreported-removal features,0,raw_encoder_feature,16.485303606696316
6,closing_waiting_list_missing__lag_01,closing_waiting_list_missing,closing_waiting_list_missing,waiting-list lags,1,raw_encoder_feature,15.19117908791858
6,completed_non_admitted_missing__lag_00,completed_non_admitted_missing,completed_non_admitted_missing,completed-pathway features,0,raw_encoder_feature,15.136010725436925
6,completed_total_lag3_missing__lag_01,completed_total_lag3_missing,completed_total_lag3_missing,completed-pathway features,1,raw_encoder_feature,14.97862995845329
6,reported_net_inflow_lag1_missing__lag_00,reported_net_inflow_lag1_missing,reported_net_inflow_lag1_missing,referral or new RTT-period features,0,raw_encoder_feature,14.803900821265811
6,reported_net_inflow_lag6_missing__lag_01,reported_net_inflow_lag6_missing,reported_net_inflow_lag6_missing,referral or new RTT-period features,1,raw_encoder_feature,14.627079679038479
6,completed_total_lag6__lag_00,completed_total_lag6,completed_total_lag6,completed-pathway features,0,raw_encoder_feature,13.959823605091163
