feature_name,display_name,raw_column,feature_group,lag,feature_kind,mean_abs_shap
total_waiting__lag_02,total_waiting,waiting_list,waiting-list lags,2,raw_encoder_feature,4.6963579731875935
closing_waiting_list__lag_01,closing_waiting_list,closing_waiting_list,waiting-list lags,1,raw_encoder_feature,4.582948617473095
completed_total_lag6_missing__lag_00,completed_total_lag6_missing,completed_total_lag6_missing,completed-pathway features,0,raw_encoder_feature,4.578370323798047
completed_non_admitted__lag_02,completed_non_admitted,completed_non_admitted,completed-pathway features,2,raw_encoder_feature,4.546735814153215
reported_net_inflow_lag3__lag_02,reported_net_inflow_lag3,reported_net_inflow_lag3,referral or new RTT-period features,2,raw_encoder_feature,4.53691598785679
reported_net_inflow_missing__lag_02,reported_net_inflow_missing,reported_net_inflow_missing,referral or new RTT-period features,2,raw_encoder_feature,4.273055937931176
completed_total_lag1__lag_02,completed_total_lag1,completed_total_lag1,completed-pathway features,2,raw_encoder_feature,4.26296023974282
waiting_list_with_dta__lag_02,waiting_list_with_dta,waiting_list_with_dta,waiting-list lags,2,raw_encoder_feature,4.20952549831926
calendar_month_sin__lag_00,calendar_month_sin,month_sin,calendar features,0,raw_encoder_feature,4.192596422381746
waiting_list_imputed__lag_01,waiting_list_imputed,waiting_list_imputed,waiting-list lags,1,raw_encoder_feature,4.17549265189911
waiting_list_with_dta_imputed__lag_02,waiting_list_with_dta_imputed,waiting_list_with_dta_imputed,waiting-list lags,2,raw_encoder_feature,4.060729506175255
completed_non_admitted_missing__lag_01,completed_non_admitted_missing,completed_non_admitted_missing,completed-pathway features,1,raw_encoder_feature,4.0337582902495
calendar_month_cos__lag_00,calendar_month_cos,month_cos,calendar features,0,raw_encoder_feature,3.971610219262665
completed_non_admitted__lag_00,completed_non_admitted,completed_non_admitted,completed-pathway features,0,raw_encoder_feature,3.753179482493611
completed_total_missing__lag_01,completed_total_missing,completed_total_missing,completed-pathway features,1,raw_encoder_feature,3.611492379235743
unreported_removals_lag6__lag_01,unreported_removals_lag6,unreported_removals_lag6,unreported-removal features,1,raw_encoder_feature,3.5367117896129185
reported_net_inflow_lag6__lag_00,reported_net_inflow_lag6,reported_net_inflow_lag6,referral or new RTT-period features,0,raw_encoder_feature,3.506323080025636
completed_total_missing__lag_02,completed_total_missing,completed_total_missing,completed-pathway features,2,raw_encoder_feature,3.3585214797402574
completed_total_lag1_missing__lag_01,completed_total_lag1_missing,completed_total_lag1_missing,completed-pathway features,1,raw_encoder_feature,3.2361471699950393
reported_net_inflow_lag1_missing__lag_02,reported_net_inflow_lag1_missing,reported_net_inflow_lag1_missing,referral or new RTT-period features,2,raw_encoder_feature,3.1807635216512535
reported_net_inflow__lag_01,reported_net_inflow,reported_net_inflow,referral or new RTT-period features,1,raw_encoder_feature,3.089312968730907
calendar_month_cos__lag_02,calendar_month_cos,month_cos,calendar features,2,raw_encoder_feature,2.8946960109174986
new_rtt_periods_lag6_missing__lag_02,new_rtt_periods_lag6_missing,new_rtt_periods_lag6_missing,referral or new RTT-period features,2,raw_encoder_feature,2.5300894901721733
total_completed_pathways__lag_02,total_completed_pathways,completed_total,completed-pathway features,2,raw_encoder_feature,2.434550556684791
new_rtt_periods_lag6_missing__lag_00,new_rtt_periods_lag6_missing,new_rtt_periods_lag6_missing,referral or new RTT-period features,0,raw_encoder_feature,2.344769801911279
waiting_list_with_dta_imputed__lag_00,waiting_list_with_dta_imputed,waiting_list_with_dta_imputed,waiting-list lags,0,raw_encoder_feature,2.212146748420956
calendar_month_sin__lag_02,calendar_month_sin,month_sin,calendar features,2,raw_encoder_feature,2.147046422786675
net_inflow__lag_02,net_inflow,net_inflow,referral or new RTT-period features,2,raw_encoder_feature,2.119717469700345
unreported_removals_lag3__lag_02,unreported_removals_lag3,unreported_removals_lag3,unreported-removal features,2,raw_encoder_feature,2.014655541832433
new_rtt_periods_lag6_missing__lag_01,new_rtt_periods_lag6_missing,new_rtt_periods_lag6_missing,referral or new RTT-period features,1,raw_encoder_feature,1.935180469830043
completed_total_lag3_missing__lag_00,completed_total_lag3_missing,completed_total_lag3_missing,completed-pathway features,0,raw_encoder_feature,1.7116836748396955
opening_waiting_list_missing__lag_01,opening_waiting_list_missing,opening_waiting_list_missing,waiting-list lags,1,raw_encoder_feature,1.4564150044869673
waiting_list_with_dta__lag_01,waiting_list_with_dta,waiting_list_with_dta,waiting-list lags,1,raw_encoder_feature,1.259559901518284
completed_total_lag1__lag_01,completed_total_lag1,completed_total_lag1,completed-pathway features,1,raw_encoder_feature,1.2180640739594826
new_rtt_periods_lag1_missing__lag_02,new_rtt_periods_lag1_missing,new_rtt_periods_lag1_missing,referral or new RTT-period features,2,raw_encoder_feature,1.1350490015082686
new_rtt_periods_lag3__lag_01,new_rtt_periods_lag3,new_rtt_periods_lag3,referral or new RTT-period features,1,raw_encoder_feature,1.0881107818908402
unreported_removals__lag_01,unreported_removals,unreported_removals,unreported-removal features,1,raw_encoder_feature,1.0071886786149902
unreported_removals_lag1__lag_02,unreported_removals_lag1,unreported_removals_lag1,unreported-removal features,2,raw_encoder_feature,0.9923576653512332
