model,model_name,specialty_code,specialty_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
hist_gradient_boosting,hist_gradient_boosting,130,Ophthalmology Service,2347,123.13978185594476,233.81924513303096,30.172961795479804,19.67691840638999,30.2577791021314,61.56989092797238,34.127076453121674,41.98491549440849,0.7694929697486153,356.7343409918816
TCN,TCN,130,Ophthalmology Service,2347,155.1644806683089,287.73847823468236,37.675172539137115,24.79425235016197,32.670873764895056,77.58224033415445,67.93694094941114,59.39668501615355,0.8432040903280784,873.8048120102682
seasonal_naive_12m,seasonal_naive_12m,130,Ophthalmology Service,2347,162.5973583297827,273.29619691536544,39.14076252969398,25.981976780603116,50.420899020025566,81.29867916489135,48.03468683425648,59.91808833972447,0.7136770345121431,335.12168726033235
historical_seasonal_mean,historical_seasonal_mean,130,Ophthalmology Service,2347,209.10632333745883,349.94751947885896,44.5104679015546,33.41380015911359,62.36719263024056,104.55316166872942,75.76124808096792,80.89386745997932,0.6723476778866638,594.8986891066611
naive_last_value,naive_last_value,140,Oral Surgery Service,1305,86.61149425287357,131.0156376850018,23.986563465536012,17.604812243683696,22.082360153256708,43.305747126436785,23.228398467432942,29.538835249042148,0.7754789272030651,240.00413793103465
hist_gradient_boosting,hist_gradient_boosting,140,Oral Surgery Service,1305,87.88744728642216,140.20084931957808,23.224353170744447,17.864164813237554,20.700300057314667,43.94372364321108,21.346482857317067,28.663502185947607,0.7977011494252874,285.7024685240436
TCN,TCN,140,Oral Surgery Service,1305,97.71179887545063,141.03774202331724,26.328628488899362,19.8610806571764,23.19151935811244,48.85589943772531,44.99555058987204,39.01432312856993,0.9287356321839081,662.4658605780181
seasonal_naive_12m,seasonal_naive_12m,140,Oral Surgery Service,1305,122.91417624521073,171.3688254307122,33.27112512424111,24.983762415716424,27.755095785440613,61.45708812260536,31.86940229885057,40.360528735632194,0.7777777777777778,354.7116475095786
historical_seasonal_mean,historical_seasonal_mean,140,Oral Surgery Service,1305,169.26704524721765,267.65980027154995,42.22302512302775,34.40553215627629,32.647628200450036,84.63352262360883,55.07052058626771,57.45055713677552,0.8352490421455939,601.1861263151494
naive_last_value,naive_last_value,160,Plastic Surgery Service,969,87.96388028895768,159.84949384065797,26.89854584964656,15.825894183352148,19.443199174406605,43.98194014447884,36.69455108359132,33.37323013415892,0.759545923632611,219.87905056759564
hist_gradient_boosting,hist_gradient_boosting,160,Plastic Surgery Service,969,95.7861741697365,183.75078652868712,28.313009819573512,17.23323086315331,20.668076019357837,47.89308708486825,22.53468773970164,30.365283614642575,0.7647058823529411,298.23138881852776
TCN,TCN,160,Plastic Surgery Service,969,101.57047867209057,166.26873010919385,32.27381087069812,18.27390563418242,22.44786951156839,50.78523933604529,64.00452842643509,45.745879091349586,0.8575851393188855,830.8761343130509
seasonal_naive_12m,seasonal_naive_12m,160,Plastic Surgery Service,969,124.02992776057792,224.42204408205768,36.67662675488401,22.314664904046104,31.736790505675955,62.01496388028896,46.15068111455108,46.634145166838664,0.7894736842105263,326.445407636739
historical_seasonal_mean,historical_seasonal_mean,160,Plastic Surgery Service,969,196.67810621324554,354.52024540796384,47.02045458067664,35.38505676293649,30.660446238144377,98.33905310662277,75.51038310645895,68.16996081707536,0.7894736842105263,581.7050959097091
naive_last_value,naive_last_value,110,Trauma and Orthopaedic Service,3226,110.38375697458153,224.53345996425875,21.495255720471622,11.166118025997353,32.9041103533788,55.191878487290765,39.51080595164289,42.535598264104145,0.7386856788592684,233.40644761314343
hist_gradient_boosting,hist_gradient_boosting,110,Trauma and Orthopaedic Service,3226,129.33028822813012,261.0892490212112,22.080567572439936,13.082697149220053,34.27888975184565,64.66514411406506,35.20317152579507,44.715735130568596,0.8254804711717297,465.8403063677239
seasonal_naive_12m,seasonal_naive_12m,110,Trauma and Orthopaedic Service,3226,156.9008059516429,274.7161370990809,29.13697559585448,15.871655084484809,44.83970861748295,78.45040297582145,54.04882517048976,59.11297892126473,0.7386856788592684,340.0260694358339
TCN,TCN,110,Trauma and Orthopaedic Service,3226,201.69477788868411,390.08011834241313,29.33951231626173,20.402890396736346,38.387064596029525,100.84738894434206,128.09360958372517,89.10935437469892,0.8952262864228147,1619.9160865339077
historical_seasonal_mean,historical_seasonal_mean,110,Trauma and Orthopaedic Service,3226,296.23680893828913,537.8924159654593,40.12923954320259,29.96650288874899,48.626704024345855,148.11840446914456,127.75118607248645,108.16543152199226,0.7470551766893986,587.5808351538592
naive_last_value,naive_last_value,101,Urology Service,2046,66.31427174975562,118.30166924535156,26.456189987166187,15.256196469954585,16.723870967741934,33.15713587487781,20.50527859237537,23.462095144998376,0.8406647116324536,217.93567937438922
hist_gradient_boosting,hist_gradient_boosting,101,Urology Service,2046,68.17955916193347,121.06968861201379,26.289550100647805,15.685322666808633,14.581666721762836,34.089779580966734,18.52906203546107,22.40016944606355,0.7898338220918866,211.94159407579642
TCN,TCN,101,Urology Service,2046,75.38885566542692,128.37328623458808,29.017111412026427,17.343886366075342,19.676543350058918,37.69442783271346,38.76560130874432,32.04552416383889,0.8934506353861192,542.344337257938
seasonal_naive_12m,seasonal_naive_12m,101,Urology Service,2046,89.3919843597263,145.04325373675763,33.72144207650243,20.565432451365457,21.971353861192572,44.69599217986315,26.75206744868035,31.13980449657869,0.8655913978494624,321.39843597262956
historical_seasonal_mean,historical_seasonal_mean,101,Urology Service,2046,125.23857138978106,201.2872343116113,40.35412638762827,28.812263187463476,24.723361886918337,62.61928569489053,46.9589763417586,44.76720797452249,0.9002932551319648,577.5629228537294
