trust_code,trust_name,specialty_code,specialty_name,baseline_predicted_backlog,sessions_allocated,simulated_completed_pathways,remaining_backlog,allocation_cost,percent_reduction
NT405,BISHOPS WOOD HOSPITAL,110,Trauma and Orthopaedic Service,905.3550720214844,0,0.0,905.355073,0.0,0.0
NT405,BISHOPS WOOD HOSPITAL,101,Urology Service,103.3108344078064,0,0.0,103.3108345,0.0,0.0
NT405,BISHOPS WOOD HOSPITAL,100,General Surgery Service,118.89122200012207,0,0.0,118.89122280000001,0.0,0.0
NT404,BEAUMONT HOSPITAL,120,Ear Nose and Throat Service,201.04201126098633,0,0.0,201.042011,0.0,0.0
NT416,HENDON HOSPITAL,110,Trauma and Orthopaedic Service,486.13922119140625,0,0.0,486.139222,0.0,0.0
NT404,BEAUMONT HOSPITAL,110,Trauma and Orthopaedic Service,2820.5518646240234,0,0.0,2820.55186,0.0,0.0
NT404,BEAUMONT HOSPITAL,101,Urology Service,309.95008277893066,0,0.0,309.950081,0.0,0.0
NT404,BEAUMONT HOSPITAL,100,General Surgery Service,1553.3176956176758,0,0.0,1553.31769,0.0,0.0
NT403,BEARDWOOD HOSPITAL,502,Gynaecology Service,368.12772941589355,0,0.0,368.127728,0.0,0.0
NT403,BEARDWOOD HOSPITAL,150,Neurosurgical Service,100.4829626083374,0,0.0,100.4829626,0.0,0.0
NT403,BEARDWOOD HOSPITAL,120,Ear Nose and Throat Service,184.86110019683838,0,0.0,184.8611,0.0,0.0
NT403,BEARDWOOD HOSPITAL,110,Trauma and Orthopaedic Service,5448.708343505859,0,0.0,5448.70835,0.0,0.0
NT403,BEARDWOOD HOSPITAL,101,Urology Service,229.6099510192871,0,0.0,229.609951,0.0,0.0
NT403,BEARDWOOD HOSPITAL,100,General Surgery Service,929.9368515014648,0,0.0,929.936852,0.0,0.0
NT402,BATH CLINIC,130,Ophthalmology Service,266.8975238800049,0,0.0,266.89752599999997,0.0,0.0
NT406,BLACKHEATH HOSPITAL,502,Gynaecology Service,432.03057861328125,0,0.0,432.03058,0.0,0.0
NT408,CHAUCER HOSPITAL,100,General Surgery Service,267.8659267425537,0,0.0,267.865928,0.0,0.0
NT408,CHAUCER HOSPITAL,101,Urology Service,71.23367357254028,0,0.0,71.2336736,0.0,0.0
NT408,CHAUCER HOSPITAL,110,Trauma and Orthopaedic Service,2085.9149169921875,0,0.0,2085.91492,0.0,0.0
NT416,HENDON HOSPITAL,101,Urology Service,166.29635429382324,0,0.0,166.296354,0.0,0.0
NT416,HENDON HOSPITAL,100,General Surgery Service,599.9051856994629,0,0.0,599.905187,0.0,0.0
NT412,DROITWICH SPA HOSPITAL,130,Ophthalmology Service,63.035964488983154,0,0.0,63.0359645,0.0,0.0
NT412,DROITWICH SPA HOSPITAL,120,Ear Nose and Throat Service,51.22074890136719,0,0.0,51.220749,0.0,0.0
NT412,DROITWICH SPA HOSPITAL,110,Trauma and Orthopaedic Service,2920.8052520751953,0,0.0,2920.80527,0.0,0.0
NT412,DROITWICH SPA HOSPITAL,100,General Surgery Service,1289.5671844482422,0,0.0,1289.56718,0.0,0.0
NT411,CLEMENTINE CHURCHILL HOSPITAL,502,Gynaecology Service,152.86939811706543,0,0.0,152.869396,0.0,0.0
NT411,CLEMENTINE CHURCHILL HOSPITAL,130,Ophthalmology Service,195.26378917694092,0,0.0,195.263789,0.0,0.0
NT411,CLEMENTINE CHURCHILL HOSPITAL,120,Ear Nose and Throat Service,113.15691947937012,0,0.0,113.1569205,0.0,0.0
NT411,CLEMENTINE CHURCHILL HOSPITAL,110,Trauma and Orthopaedic Service,1686.899673461914,0,0.0,1686.89965,0.0,0.0
NT411,CLEMENTINE CHURCHILL HOSPITAL,101,Urology Service,81.68752098083496,0,0.0,81.687521,0.0,0.0
NT411,CLEMENTINE CHURCHILL HOSPITAL,100,General Surgery Service,779.8196716308594,0,0.0,779.81967,0.0,0.0
NT410,CHILTERN HOSPITAL,110,Trauma and Orthopaedic Service,1808.8232727050781,0,0.0,1808.82326,0.0,0.0
NT410,CHILTERN HOSPITAL,101,Urology Service,54.08041191101074,0,0.0,54.080412100000004,0.0,0.0
NT410,CHILTERN HOSPITAL,100,General Surgery Service,102.49706411361694,0,0.0,102.4970642,0.0,0.0
NT409,CHELSFIELD PARK HOSPITAL,502,Gynaecology Service,242.77254962921143,0,0.0,242.772551,0.0,0.0
NT409,CHELSFIELD PARK HOSPITAL,120,Ear Nose and Throat Service,71.11508655548096,0,0.0,71.1150865,0.0,0.0
NT409,CHELSFIELD PARK HOSPITAL,110,Trauma and Orthopaedic Service,778.1135902404785,0,0.0,778.113591,0.0,0.0
NT409,CHELSFIELD PARK HOSPITAL,101,Urology Service,73.79317092895508,0,0.0,73.7931709,0.0,0.0
NT409,CHELSFIELD PARK HOSPITAL,100,General Surgery Service,354.7355251312256,0,0.0,354.735525,0.0,0.0
NT408,CHAUCER HOSPITAL,130,Ophthalmology Service,496.64163970947266,0,0.0,496.641641,0.0,0.0
NT312,SPIRE ALEXANDRA HOSPITAL,100,General Surgery Service,348.52480125427246,0,0.0,348.524802,0.0,0.0
NT30A,SPIRE NOTTINGHAM HOSPITAL,110,Trauma and Orthopaedic Service,1171.8803176879883,0,0.0,1171.880325,0.0,0.0
NT30A,SPIRE NOTTINGHAM HOSPITAL,101,Urology Service,57.8908371925354,0,0.0,57.8908371,0.0,0.0
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,100,General Surgery Service,1791.5467681884766,0,0.0,1791.54677,0.0,0.0
K8I4X,GLENDON WOOD HOSPITAL,110,Trauma and Orthopaedic Service,1144.5156021118164,0,0.0,1144.515611,0.0,0.0
K8I4X,GLENDON WOOD HOSPITAL,100,General Surgery Service,527.850025177002,0,0.0,527.850025,0.0,0.0
J7V1N,SPAMEDICA SOLIHULL,130,Ophthalmology Service,2563.2181396484375,0,0.0,2563.21816,0.0,0.0
I9A4A,SPAMEDICA BRIGHTON,130,Ophthalmology Service,1559.2172241210938,0,0.0,1559.21723,0.0,0.0
I2C7H,SPAMEDICA BRADFORD,130,Ophthalmology Service,1419.6243591308594,0,0.0,1419.62436,0.0,0.0
H4J9P,NEWMEDICA AZTEC WEST,130,Ophthalmology Service,1967.7925415039062,0,0.0,1967.7925400000001,0.0,0.0
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,502,Gynaecology Service,224.53257656097412,0,0.0,224.532578,0.0,0.0
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,130,Ophthalmology Service,762.1295623779297,0,0.0,762.129562,0.0,0.0
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,120,Ear Nose and Throat Service,273.8717727661133,0,0.0,273.871774,0.0,0.0
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,110,Trauma and Orthopaedic Service,8049.783630371094,0,0.0,8049.78362,0.0,0.0
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),502,Gynaecology Service,769.077766418457,0,0.0,769.077767,0.0,0.0
F9Z4V,CIRCLE READING HOSPITAL,130,Ophthalmology Service,563.000904083252,0,0.0,563.000904,0.0,0.0
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),130,Ophthalmology Service,1873.3622741699219,0,0.0,1873.36228,0.0,0.0
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),120,Ear Nose and Throat Service,1111.5552444458008,0,0.0,1111.555245,0.0,0.0
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),110,Trauma and Orthopaedic Service,14365.19677734375,0,0.0,14365.1968,0.0,0.0
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),101,Urology Service,820.6139907836914,0,0.0,820.6139900000001,0.0,0.0
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),100,General Surgery Service,2223.3675079345703,0,0.0,2223.36751,0.0,0.0
G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,160,Plastic Surgery Service,315.72299575805664,0,0.0,315.722994,0.0,0.0
G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,120,Ear Nose and Throat Service,330.54836654663086,0,0.0,330.548366,0.0,0.0
G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,110,Trauma and Orthopaedic Service,1093.2708129882812,0,0.0,1093.27081,0.0,0.0
G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,100,General Surgery Service,605.4363250732422,0,0.0,605.436325,0.0,0.0
G3O5P,SPAMEDICA NEWARK,130,Ophthalmology Service,3038.188278198242,0,0.0,3038.18828,0.0,0.0
K8I4X,GLENDON WOOD HOSPITAL,130,Ophthalmology Service,1311.9822235107422,0,0.0,1311.98223,0.0,0.0
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),130,Ophthalmology Service,4685.654479980469,0,0.0,4685.65449,0.0,0.0
L6O7H,SPAMEDICA POOLE,130,Ophthalmology Service,4330.7586669921875,0,0.0,4330.75867,0.0,0.0
M3R0W,SPAMEDICA NORWICH,130,Ophthalmology Service,1782.5193176269531,0,0.0,1782.5193399999998,0.0,0.0
NN4,TYNESIDE SURGICAL SERVICES LTD,502,Gynaecology Service,153.7653570175171,0,0.0,153.7653569,0.0,0.0
NN4,TYNESIDE SURGICAL SERVICES LTD,160,Plastic Surgery Service,1678.7064056396484,0,0.0,1678.70639,0.0,0.0
NN4,TYNESIDE SURGICAL SERVICES LTD,110,Trauma and Orthopaedic Service,2801.4017944335938,0,0.0,2801.40179,0.0,0.0
NN4,TYNESIDE SURGICAL SERVICES LTD,101,Urology Service,218.4977321624756,0,0.0,218.497732,0.0,0.0
NN4,TYNESIDE SURGICAL SERVICES LTD,100,General Surgery Service,376.6537036895752,0,0.0,376.653701,0.0,0.0
NLX,SIRONA CARE & HEALTH,110,Trauma and Orthopaedic Service,2457.230422973633,0,0.0,2457.23042,0.0,0.0
