"RD3","POOLE HOSPITAL NHS FOUNDATION TRUST","Y58","QVV","LONGFLEET ROAD","","","POOLE","","BH15 2JB","19920401","20200930","","","","","","01202 665511","","","","1","","K","","",""
"RD7","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","Y59","S0E4D","WEXHAM PARK HOSPITAL","WEXHAM STREET","WEXHAM","SLOUGH","","SL2 4HL","19920401","20140930","","","","","","01753 633000","","","","1","","J","","",""
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","Y61","S1Y5D","STANDING WAY","EAGLESTONE","","MILTON KEYNES","","MK6 5LD","19920401","","","","","","","01908 660033","","","","1","","J","","",""
"RDD","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","D7T5G","BASILDON HOSPITAL","NETHERMAYNE","","BASILDON","","SS16 5NL","19920401","20200331","","","","","","01268 524900","","","","1","","G","","",""
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","Y61","D7T5G","COLCHESTER DIST GENERAL HOSPITAL","TURNER ROAD","","COLCHESTER","","CO4 5JL","19920401","","","","","","","01206 747474","","","","1","","G","","",""
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST","Y59","S9B9J","BRIGHTON GENERAL HOSPITAL","ELM GROVE","","BRIGHTON","","BN2 3EW","19920401","","","","","","","01273 696011","","","","1","","J","","",""
"RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST","Y59","S9B9J","PORTSMOUTH ROAD","FRIMLEY","","CAMBERLEY","","GU16 7UJ","19920401","","","","","","","01276 604604","","","","1","","J","","",""
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Y58","QVV","DORSET HEALTHCARE HQ","2 NUFFIELD ROAD","","POOLE","","BH17 0RB","19920401","","","","","","","01202 277000","","","","1","","K","","",""
"RDZ","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","Y58","QVV","ROYAL BOURNEMOUTH GENERAL HOSPITAL","CASTLE LANE EAST","","BOURNEMOUTH","","BH7 7DW","19920401","20200930","","","","","","01202 303626","","","","1","","K","","",""
"RE9","SOUTH TYNESIDE NHS FOUNDATION TRUST","Y63","QHM","SOUTH TYNESIDE DISTRICT HOSPITAL","HARTON LANE","","SOUTH SHIELDS","","NE34 0PL","19930401","20190331","","","","","","0191 454 8888","","","","1","","A","","",""
